SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,LOL,Pool,VertDatum
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1360_rm,1,136.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,429.486046511627933,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1320_rm,1,132.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,429.416279069767427,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1148_rm,1,114.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.169032258064476,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1153_rm,1,115.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.172258064516086,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1156_rm,1,115.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.174193548387109,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_MAR_2719_rm,1,271.899999999999977,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,504.500000000000000,DR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_DRE_2723_rm,1,272.300000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,504.500000000000000,DR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_DRE_2726_rm,1,272.600000000000023,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,504.500000000000000,DR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_DRE_2731_rm,1,273.100000000000023,,5,20130522,Confluence with the Upper Mississippi River,DES PLAINES RIVER,1,504.500000000000000,DR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1481_rm,1,148.099999999999994,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.765853658536571,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1485_rm,1,148.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.775609756097538,LA,NGVD1929
