SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,Pool,PoolElev,VertDatum
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4301_rm,1,430.100006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4274_rm,1,427.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4269_rm,1,426.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4264_rm,1,426.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4237_rm,1,423.700012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4232_rm,1,423.200012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4218_rm,1,421.799987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,18,528.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4826_rm,1,482.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4825_rm,1,482.500000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4824_rm,1,482.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
